id,state,district,vote,name,party
400344,FL,27,Yea,Ileana Ros-Lehtinen,Republican
400347,CA,40,Nay,Lucille Roybal-Allard,Democrat
400348,CA,39,Yea,Edward â€œEdâ€ù Royce,Republican
400349,MD,2,Nay,A. Dutch Ruppersberger,Democrat
400350,IL,1,Not Voting,Bobby Rush,Democrat
400351,WI,1,Yea,Paul Ryan,Republican
400352,OH,13,Nay,Tim Ryan,Democrat
400355,CA,38,Nay,Linda SÃ¡nchez,Democrat
400356,CA,46,Nay,Loretta Sanchez,Democrat
400360,IL,9,Nay,Janice â€œJanâ€ù Schakowsky,Democrat
400361,CA,28,Nay,Adam Schiff,Democrat
400363,GA,13,Nay,David Scott,Democrat
400364,VA,3,Nay,Robert â€œBobbyâ€ù Scott,Democrat
400365,WI,5,Yea,James Sensenbrenner Jr.,Republican
400366,NY,15,Nay,JosÃ© Serrano,Democrat
400367,TX,32,Yea,Pete Sessions,Republican
400371,CA,30,Nay,Brad Sherman,Democrat
400373,IL,15,Yea,John Shimkus,Republican
400376,ID,2,Yea,Michael â€œMikeâ€ù Simpson,Republican
400378,NY,25,Nay,Louise Slaughter,Democrat
400379,WA,9,Nay,Adam Smith,Democrat
400380,NJ,4,Yea,Christopher â€œChrisâ€ù Smith,Republican
400381,TX,21,Yea,Lamar Smith,Republican
400400,NE,2,Yea,Lee Terry,Republican
400402,MS,2,Nay,Bennie Thompson,Democrat
400403,CA,5,Nay,Mike Thompson,Democrat
400404,TX,13,Yea,Mac Thornberry,Republican
400406,OH,12,Yea,Patrick â€œPatâ€ù Tiberi,Republican
400407,MA,6,Nay,John Tierney,Democrat
400411,OH,10,Yea,Michael Turner,Republican
400414,MI,6,Yea,Fred Upton,Republican
400415,MD,8,Nay,Chris Van Hollen Jr.,Democrat
400416,NY,7,Nay,Nydia VelÃ¡zquez,Democrat
400417,IN,1,Not Voting,Peter Visclosky,Democrat
400419,OR,2,Yea,Greg Walden,Republican
400422,CA,43,Nay,Maxine Waters,Democrat
400424,NC,12,Nay,Melvin â€œMelâ€ù Watt,Democrat
400425,CA,33,Nay,Henry Waxman,Democrat
400431,KY,1,Yea,Ed Whitfield,Republican
400433,SC,2,Yea,Joe Wilson,Republican
400435,VA,10,Yea,Frank Wolf,Republican
400439,FL,13,Yea,W. Bill Young,Republican
400440,AK,0,Yea,Don Young,Republican
400441,TX,19,Yea,Randy Neugebauer,Republican
400606,AZ,5,Yea,Matt Salmon,Republican
400607,SC,1,Yea,Marshall â€œMarkâ€ù Sanford,Republican
400616,NC,1,Nay,George â€œG.K.â€ù Butterfield Jr.,Democrat
400618,CA,16,Nay,Jim Costa,Democrat
400623,FL,23,Nay,Debbie Wasserman Schultz,Democrat
400626,GA,6,Yea,Tom Price,Republican
400627,GA,3,Yea,Lynn Westmoreland,Republican
400628,GA,12,Nay,John Barrow,Democrat
400630,IL,3,Nay,Daniel Lipinski,Democrat
400636,LA,3,Yea,Charles Boustany Jr.,Republican
400639,MO,5,Nay,Emanuel Cleaver II,Democrat
400640,NE,1,Yea,Jeff Fortenberry,Republican
400641,NY,26,Not Voting,Brian Higgins,Democrat
400643,NC,5,Yea,Virginia Foxx,Republican
400644,NC,10,Yea,Patrick McHenry,Republican
400646,PA,8,Yea,Michael Fitzpatrick,Republican
400647,PA,13,Nay,Allyson Schwartz,Democrat
400648,PA,15,Yea,Charles Dent,Republican
400651,TX,1,Yea,Louie Gohmert Jr.,Republican
400652,TX,2,Yea,Ted Poe,Republican
400653,TX,9,Nay,Al Green,Democrat
400654,TX,10,Yea,Michael McCaul,Republican
400655,TX,11,Yea,Michael Conaway,Republican
400656,TX,24,Yea,Kenny Marchant,Republican
400657,TX,28,Nay,Henry Cuellar,Democrat
400659,WA,5,Yea,Cathy McMorris Rodgers,Republican
400660,WA,8,Yea,David Reichert,Republican
400661,WI,4,Nay,Gwen Moore,Democrat
400663,CA,6,Nay,Doris Matsui,Democrat
408211,MN,8,Nay,Richard Nolan,Democrat
409888,PA,9,Yea,Bill Shuster,Republican
410396,TX,36,Yea,Steve Stockman,Republican
412011,CA,45,Yea,John Campbell III,Republican
412186,NJ,8,Nay,Albio Sires,Democrat
412189,CA,9,Nay,Jerry McNerney,Democrat
412190,CA,23,Yea,Kevin McCarthy,Republican
412191,CO,5,Yea,Doug Lamborn,Republican
412192,CO,7,Nay,Ed Perlmutter,Democrat
412193,CT,2,Nay,Joe Courtney,Democrat
412195,FL,14,Nay,Kathy Castor,Democrat
412196,FL,16,Yea,Vern Buchanan,Republican
412199,GA,4,Nay,Henry â€œHankâ€ù Johnson Jr.,Democrat
412202,IL,6,Yea,Peter Roskam,Republican
412208,IA,1,Nay,Bruce Braley,Democrat
412209,IA,2,Nay,David Loebsack,Democrat
412211,KY,3,Nay,John Yarmuth,Democrat
412212,MD,3,Nay,John Sarbanes,Democrat
412213,MI,7,Yea,Tim Walberg,Republican
412214,MN,1,Nay,Timothy Walz,Democrat
412215,MN,5,Nay,Keith Ellison,Democrat
412216,MN,6,Yea,Michele Bachmann,Republican
412217,NE,3,Yea,Adrian Smith,Republican
412219,NH,1,Nay,Carol Shea-Porter,Democrat
412221,NY,9,Nay,Yvette Clarke,Democrat
412226,OH,4,Yea,Jim Jordan,Republican
412236,TN,9,Nay,Steve Cohen,Democrat
412239,VT,0,Nay,Peter Welch,Democrat
412250,FL,12,Yea,Gus Bilirakis,Republican
412252,GA,10,Yea,Paul Broun Jr.,Republican
412254,MA,3,Nay,Niki Tsongas,Democrat
412255,VA,1,Yea,Robert Wittman,Republican
412256,OH,5,Yea,Robert Latta,Republican
412257,IL,11,Nay,Bill Foster,Democrat
412258,IN,7,Nay,AndrÃ© Carson,Democrat
412259,CA,14,Nay,Jackie Speier,Democrat
412261,LA,1,Yea,Steve Scalise,Republican
412263,MD,4,Nay,Donna Edwards,Democrat
412269,LA,6,Yea,Bill Cassidy,Republican
412270,UT,3,Yea,Jason Chaffetz,Republican
412271,CO,6,Yea,Mike Coffman,Republican
412272,VA,11,Nay,Gerald Connolly,Democrat
412275,LA,4,Yea,John Fleming,Republican
412276,FL,9,Nay,Alan Grayson,Democrat
412278,KY,2,Yea,Brett Guthrie,Republican
412280,MS,3,Yea,Gregg Harper,Republican
412282,CT,4,Nay,James Himes,Democrat
412283,CA,50,Yea,Duncan Hunter,Republican
412284,KS,2,Yea,Lynn Jenkins,Republican
412286,AZ,1,Nay,Ann Kirkpatrick,Democrat
412290,NJ,7,Yea,Leonard Lance,Republican
412292,MO,3,Yea,Blaine Luetkemeyer,Republican
412293,NM,3,Nay,Ben LujÃ¡n,Democrat
412294,WY,0,Yea,Cynthia Lummis,Republican
412295,CA,4,Yea,Tom McClintock,Republican
412297,NY,24,Nay,Daniel Maffei,Democrat
412302,TX,22,Yea,Pete Olson,Republican
412303,MN,3,Yea,Erik Paulsen,Republican
412305,MI,14,Nay,Gary Peters,Democrat
412307,ME,1,Nay,Chellie Pingree,Democrat
412308,CO,2,Nay,Jared Polis,Democrat
412309,FL,8,Yea,Bill Posey,Republican
412310,TN,1,Yea,David â€œPhilâ€ù Roe,Republican
412311,FL,17,Yea,Thomas Rooney,Republican
412314,IL,18,Yea,Aaron Schock,Republican
412315,OR,5,Nay,Kurt Schrader,Democrat
412317,PA,5,Yea,Glenn Thompson,Republican
412318,NV,1,Nay,Dina Titus,Democrat
412319,NY,20,Nay,Paul Tonko,Democrat
412327,OH,11,Nay,Marcia Fudge,Democrat
412331,IL,5,Nay,Mike Quigley,Democrat
412379,CA,27,Nay,Judy Chu,Democrat
412382,CA,3,Nay,John Garamendi,Democrat
412383,NY,21,Nay,William Owens,Democrat
412385,FL,21,Nay,Theodore Deutch,Democrat
412388,GA,14,Yea,Tom Graves,Republican
412392,IN,3,Yea,Marlin Stutzman,Republican
412393,NY,23,Yea,Tom Reed II,Republican
412394,AL,2,Yea,Martha Roby,Republican
412395,AL,5,Yea,Mo Brooks,Republican
412396,AL,7,Nay,Terri Sewell,Democrat
412397,AZ,4,Yea,Paul Gosar,Republican
412399,AZ,6,Yea,David Schweikert,Republican
412400,AR,1,Yea,Eric â€œRickâ€ù Crawford,Republican
412401,AR,2,Yea,Tim Griffin,Republican
412402,AR,3,Yea,Steve Womack,Republican
412403,CA,10,Yea,Jeff Denham,Republican
412404,CA,37,Nay,Karen Bass,Democrat
412405,CO,3,Yea,Scott Tipton,Republican
412406,CO,4,Yea,Cory Gardner,Republican
412407,DE,0,Nay,John Carney,Democrat
412408,FL,2,Yea,Steve Southerland,Republican
412409,FL,11,Yea,Richard Nugent,Republican
412410,FL,10,Yea,Daniel Webster,Republican
412411,FL,15,Yea,Dennis Ross,Republican
412412,FL,24,Nay,Frederica Wilson,Democrat
412416,GA,7,Yea,Rob Woodall,Republican
412417,GA,8,Yea,Austin Scott,Republican
412418,HI,1,Nay,Colleen Hanabusa,Democrat
412419,ID,1,Yea,RaÃºl Labrador,Republican
412421,IL,16,Yea,Adam Kinzinger,Republican
412422,IL,14,Yea,Randy Hultgren,Republican
412426,IN,4,Yea,Todd Rokita,Republican
412427,IN,8,Yea,Larry Bucshon,Republican
412428,IN,9,Yea,Todd Young,Republican
412429,KS,1,Yea,Tim Huelskamp,Republican
412430,KS,3,Yea,Kevin Yoder,Republican
412431,KS,4,Yea,Mike Pompeo,Republican
412432,LA,2,Nay,Cedric Richmond,Democrat
412434,MD,1,Yea,Andy Harris,Republican
412435,MA,9,Nay,William Keating,Democrat
412436,MI,1,Yea,Dan Benishek,Republican
412437,MI,2,Yea,Bill Huizenga,Republican
412438,MI,3,Yea,Justin Amash,Republican
412442,MS,1,Yea,Alan Nunnelee,Republican
412443,MS,4,Yea,Steven Palazzo,Republican
412444,MO,4,Yea,Vicky Hartzler,Republican
412445,MO,7,Yea,Billy Long,Republican
412446,NV,3,Yea,Joseph Heck,Republican
412449,NJ,3,Yea,Jon Runyan,Republican
412451,NY,11,Yea,Michael Grimm,Republican
412453,NY,19,Nay,Christopher Gibson,Republican
412454,NY,22,Nay,Richard Hanna,Republican
412457,NC,2,Yea,Renee Ellmers,Republican
412460,OH,6,Yea,Bill Johnson,Republican
412461,OH,15,Yea,Steve Stivers,Republican
412462,OH,16,Yea,James Renacci,Republican
412463,OH,7,Yea,Bob Gibbs,Republican
412464,OK,5,Yea,James Lankford,Republican
412465,PA,3,Yea,Mike Kelly,Republican
412466,PA,7,Yea,Patrick Meehan,Republican
412468,PA,10,Yea,Tom Marino,Republican
412469,PA,11,Yea,Lou Barletta,Republican
412470,RI,1,Nay,David Cicilline,Democrat
412472,SC,3,Yea,Jeff Duncan,Republican
412473,SC,4,Yea,Trey Gowdy,Republican
412474,SC,5,Yea,Mick Mulvaney,Republican
412475,SD,0,Yea,Kristi Noem,Republican
412476,TN,3,Yea,Charles â€œChuckâ€ù Fleischmann,Republican
412477,TN,4,Yea,Scott DesJarlais,Republican
412478,TN,6,Yea,Diane Black,Republican
412479,TN,8,Yea,Stephen Fincher,Republican
412480,TX,17,Yea,Bill Flores,Republican
412482,TX,27,Yea,Blake Farenthold,Republican
412483,VA,2,Yea,Scott Rigell,Republican
412484,VA,5,Yea,Robert Hurt,Republican
412485,VA,9,Yea,Morgan Griffith,Republican
412486,WA,3,Yea,Jaime Herrera Beutler,Republican
412487,WV,1,Yea,David McKinley,Republican
412488,WI,7,Yea,Sean Duffy,Republican
412489,WI,8,Yea,Reid Ribble,Republican
412498,CA,44,Nay,Janice Hahn,Democrat
412500,NV,2,Yea,Mark Amodei,Republican
412501,OR,1,Nay,Suzanne Bonamici,Democrat
412502,AZ,2,Nay,Ron Barber,Democrat
412503,KY,4,Yea,Thomas Massie,Republican
412505,WA,1,Nay,Suzan DelBene,Democrat
412506,NJ,10,Nay,Donald Payne Jr.,Democrat
412508,AR,4,Yea,Tom Cotton,Republican
412509,AZ,9,Nay,Kyrsten Sinema,Democrat
412510,CA,1,Yea,Doug LaMalfa,Republican
412511,CA,2,Nay,Jared Huffman,Democrat
412512,CA,7,Nay,Ami Bera,Democrat
412513,CA,8,Yea,Paul Cook,Republican
412514,CA,15,Nay,Eric Swalwell,Democrat
412515,CA,21,Yea,David Valadao,Republican
412516,CA,26,Nay,Julia Brownley,Democrat
412517,CA,29,Nay,Tony CÃ¡rdenas,Democrat
412518,CA,35,Nay,Gloria Negrete McLeod,Democrat
412519,CA,36,Nay,Raul Ruiz,Democrat
412520,CA,41,Nay,Mark Takano,Democrat
412521,CA,47,Nay,Alan Lowenthal,Democrat
412522,CA,51,Nay,Juan Vargas,Democrat
412523,CA,52,Nay,Scott Peters,Democrat
412524,CT,5,Nay,Elizabeth Esty,Democrat
412525,FL,3,Yea,Ted Yoho,Republican
412526,FL,6,Yea,Ron DeSantis,Republican
412527,FL,18,Nay,Patrick Murphy,Democrat
412528,FL,19,Yea,Trey Radel,Republican
412529,FL,22,Nay,Lois Frankel,Democrat
412530,FL,26,Nay,Joe Garcia,Democrat
412531,GA,9,Yea,Doug Collins,Republican
412532,HI,2,Nay,Tulsi Gabbard,Democrat
412533,IL,8,Nay,Tammy Duckworth,Democrat
412534,IL,10,Nay,Bradley Schneider,Democrat
412535,IL,12,Nay,William Enyart,Democrat
412536,IL,13,Yea,Rodney Davis,Republican
412537,IL,17,Nay,Cheri Bustos,Democrat
412538,IN,2,Yea,Jackie Walorski,Republican
