name  ,operation  ,dod  , age  ,unit  ,cod  
"Bourgeois, Chief Petty Officer Matthew J.",Enduring Freedom,3/27/02,35,"Navy SEAL assigned to Little Creek Naval Amphibious Base, Va.",hostile action
"Craig, Staff Sgt. Brian T.",Enduring Freedom,4/15/02,27,"710th Explosive Ordnance Detachment, San Diego, CA",hostile action
"Galewski, Staff Sgt. Justin J.",Enduring Freedom,4/15/02,28,"710th Explosive Ordnance Detachment, San Diego, CA",hostile action
"Maugans, Sgt. Jamie O.",Enduring Freedom,4/15/02,27,"710th Explosive Ordnance Detachment, San Diego, CA",hostile action
"Romero, Sgt. 1st Class Daniel A.",Enduring Freedom,4/15/02,30,"19th Special Forces Group, Pueblo, CO",hostile action
"Grady, Seaman Katrina R.",Enduring Freedom,4/18/02,29,USS PORT ROYAL,
"Vance Jr., Sgt. Gene Arden",Enduring Freedom,5/19/02,38,"19th Special Forces Group, West Virgina National Guard",hostile action
"Corlew, Tech. Sgt. Sean M.",Enduring Freedom,6/12/02,37,"16th Special Operations Wing, Hurlburt Field, FL",airplane crash
"Shero, Staff Sgt. Anissa A.",Enduring Freedom,6/12/02,31,"16th Special Operations Wing, Hurlburt Field, FL",airplane crash
"Tycz II, Sgt. 1st Class Peter P.",Enduring Freedom,6/12/02,32,"3rd Special Forces Group, Ft. Bragg, NC",airplane crash
"Speer, Sgt. 1st Class Christopher James",Enduring Freedom,8/7/02,28,"Headquarters U.S. Army Special Operations Command, Ft. Bragg, NC",hostile action
"Foraker, Sgt. Ryan D.",Enduring Freedom,9/24/02,31,"342nd Military Police Company, U.S. Army Reserve, Columbus, OH",other-unknown
"Jackson, Sgt. 1st Class Mark Wayne",Enduring Freedom,10/2/02,40,"1st Special Forces Group, Ft. Lewis, WA",hostile action
"Sledd, Lance Cpl. Antonio J.",Enduring Freedom,10/8/02,20,"Lima Company, 3rd Battalion, 1st Marines, 11th Marine Expeditionary Unit, Camp Pendleton, CA",hostile action
"Ebbers, Pvt. James H.",Enduring Freedom,10/14/02,19,551st Military Police Command,non-combat
"Pope II, Ens. Jerry O.",Enduring Freedom,10/16/02,35,"Naval Medical Clinic, Quantico, Va.",vehicle accident
"Robinson, Lt. Cmdr. Thomas L.",Enduring Freedom,10/22/02,38,USS Paul Hamilton (DDG-60),non-combat
"Pena-Suarez, Spec. Pedro",Enduring Freedom,11/7/02,34,"3rd Infantry Division's 1st Battalion, 64th Armor Regiment",non-combat
"Checo, Sgt. Steven",Enduring Freedom,12/20/02,22,"504th Infantry, Ft. Bragg, NC",hostile action
"Frampton, Sgt. Gregory M.",Enduring Freedom,1/30/03,37,"1st Battalion, 160th Special Operations Aviation Regiment, Fort Campbell, Ky",helicopter accident
"Gibbons, Chief Warrant Officer Thomas J.",Enduring Freedom,1/30/03,31,"1st Battalion, 160th Special Operations Aviation Regiment, Fort Campbell, Ky",helicopter accident
"Kisling, Staff Sgt. Daniel L.",Enduring Freedom,1/30/03,31,"1st Battalion, 160th Special Operations Aviation Regiment, Fort Campbell, Ky",helicopter accident
"O'Steen, Chief Warrant Officer Mark S.",Enduring Freedom,1/30/03,43,"1st Battalion, 160th Special Operations Aviation Regiment, Fort Campbell, Ky",helicopter accident
"Barry, Sgt. Michael C.",Enduring Freedom,2/1/03,29,"205th Medical Battalion, Missouri Army National Gurad, Kansas City, MO",vehicle accident
"Clemens, Spec. Brian M.",Enduring Freedom,2/6/03,19,"C Company, 1-293rd Infantry, Ft. Wayne, IN",vehicle accident
"Gonzalez-Garza, Spec. Rodrigo",Enduring Freedom,2/24/03,26,"158th Aviation Regiment, 5th Battalion, of the 12th Aviation Brigade based in Giebelstadt, Germany. The group is attached to V Corps' 11th Attack Helicopter Regiment",helicopter accident
"Moehling, Chief Warrant Officer Timothy W.",Enduring Freedom,2/24/03,35,"158th Aviation Regiment, 5th Battalion, of the 12th Aviation Brigade based in Giebelstadt, Germany. The group is attached to V Corps' 11th Attack Helicopter Regiment",helicopter accident
"Smith, Chief Warrant Officer John D.",Enduring Freedom,2/24/03,32,"158th Aviation Regiment, 5th Battalion, of the 12th Aviation Brigade based in Giebelstadt, Germany. The group is attached to V Corps' 11th Attack Helicopter Regiment",helicopter accident
"Tracy, Spec. William J.",Enduring Freedom,2/24/03,27,"158th Aviation Regiment, 5th Battalion, of the 12th Aviation Brigade based in Giebelstadt, Germany. The group is attached to V Corps' 11th Attack Helicopter Regiment",helicopter accident
"McNeil, Pfc. Spence A.",Enduring Freedom,3/8/03,19,"B Battery, 3-43rd Air Defense Artillery, Ft. Bliss, TX",vehicle accident
"Dillon Jr., Pfc. James R.",Enduring Freedom,3/13/03,19,"3rd Light Armored Reconnaissance Battalion, 1st Marine Division, Marine Corps Air-Ground Combat Center, Twentynine Palms, CA",non-combat
"Profitt, Petty Officer 3rd Class Jason",Enduring Freedom,3/17/03,23,"USS Deyo, home ported in Norfolk, VA",non-combat
"Aubin, Maj. Jay T.",Iraqi Freedom,3/20/03,36,"Marine Aviation Weapons and Tactics Squadron - 1, 3rd Marine Aircraft Wing, Marine Corps Air Station Yuma, Ariz",helicopter accident
"Beaupre, Capt. Ryan A.",Iraqi Freedom,3/20/03,30,"Marine Medium Helicopter Squadron - 268, 3d Marine Aircraft Wing, Marine Corps Air Station Camp Pendleton, Calif.",helicopter accident
"Kennedy, Cpl. Brian M.",Iraqi Freedom,3/20/03,25,"Marine Medium Helicopter Squadron - 268, 3d Marine Aircraft Wing, Marine Corps Air Station Camp Pendleton, Calif.",helicopter accident
"Waters-Bey, Staff Sgt. Kendall D.",Iraqi Freedom,3/20/03,29,"Marine Medium Helicopter Squadron - 268, 3d Marine Aircraft Wing, Marine Corps Air Station Camp Pendleton, Calif.",helicopter accident
"Childers, 2nd Lt. Therrel S.",Iraqi Freedom,3/21/03,30,"1st Battalion, 5th Marine Regiment, 1st Marine Division, Camp Pendleton, Calif",hostile action
"Gutierrez, Lance Cpl. Jose",Iraqi Freedom,3/21/03,28,"2nd Battalion, 1st Marine Regiment, 1st Marine Division",hostile action
"Adams, Lt. Thomas M.",Iraqi Freedom,3/22/03,27,"Royal Navy, 849 Squadron, Royal Navy aircraft carrier H.M.S. Ark Royal.",helicopter accident
"Hodson, Sgt. Nicolas M.",Iraqi Freedom,3/22/03,22,"3rd Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade, Camp Lejeune, N.C",vehicle accident
"Orlowski, Cpl. Eric J.",Iraqi Freedom,3/22/03,26,"2nd Tank Battalion, 2nd Marine Division, Camp Lejeune, N.C.",non-combat
"Seifert, Capt. Christopher Scott",Iraqi Freedom,3/22/03,27,1-101st Airborne Division,hostile action
"Tobler, Spec. Brandon S.",Iraqi Freedom,3/22/03,19,"671st Engineer Brigade, Portland, OR",vehicle accident
"Addison, Spec. Jamaal R.",Iraqi Freedom,3/23/03,22,"507th Ordnance Maintenance Company, Fort Bliss, TX",hostile action
"Anguiano, Sgt. Edward J.",Iraqi Freedom,3/23/03,24,"3rd Combat Support Battalion out of Fort Stewart, Ga",hostile action
"Archuleta, 1st Lt. Tamara",Enduring Freedom,3/23/03,23,"41st Rescue Squadron, Moody AFB, GA",helicopter accident
"Bitz, Sgt. Michael E.",Iraqi Freedom,3/23/03,31,"2nd Assault Amphibious Battalion, 2nd Marine Division, Camp Lejeune, NC",hostile action
"Blair, Lance Cpl. Thomas A..",Iraqi Freedom,3/23/03,24,"2nd Low Altitude Air Defense Battalion, Marine Air Control Group-28, 2nd Marine Aircraft Wing, Cherry Point, NC",hostile action
"Buesing, Lance Cpl. Brian Rory",Iraqi Freedom,3/23/03,20,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",hostile action
"Buggs, Sgt. George E.",Iraqi Freedom,3/23/03,31,"3rd Forward Support Battalion, 3rd Infantry Division, Fort Stewart, GA",hostile action
"Burkett, Pfc. Tamario D.",Iraqi Freedom,3/23/03,21,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",other-unknown
"Chanawongse, Cpl. Kemaphoom A..",Iraqi Freedom,3/23/03,22,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",hostile action
"Cline Jr., Lance Cpl. Donald J.",Iraqi Freedom,3/23/03,21,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",other-unknown
"Dowdy, Master Sgt. Robert J.",Iraqi Freedom,3/23/03,38,"507th Ordnance Maintenance Company, Fort Bliss, TX",hostile action
"Estrella-Soto, Pvt. Ruben",Iraqi Freedom,3/23/03,18,"507th Ordnance Maintenance Company, Fort Bliss, TX",hostile action
"Fribley, Lance Cpl. David K.",Iraqi Freedom,3/23/03,26,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade,",hostile action
"Garibay, Cpl. Jose A.",Iraqi Freedom,3/23/03,21,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade, Camp Lejeune, NC",hostile action
"Gifford, Pvt. Jonathan L.",Iraqi Freedom,3/23/03,20,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade, Camp Lejeune, NC",hostile action
"Gonzalez, Cpl. Jorge A.",Iraqi Freedom,3/23/03,20,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",hostile action
"Hicks, Staff Sgt. Jason",Enduring Freedom,3/23/03,25,"41st Rescue Squadron, Moody AFB, GA",helicopter accident
"Hutchings, Pvt. Nolen R..",Iraqi Freedom,3/23/03,19,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",hostile action
"Johnson II, Pfc. Howard",Iraqi Freedom,3/23/03,21,"507th Ordnance Maintenance Company, Fort Biss, TX",hostile action
"Jordan, Staff Sgt. Phillip A.",Iraqi Freedom,3/23/03,42,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",hostile action
"Kiehl, Spec. James M.",Iraqi Freedom,3/23/03,22,"507th Ordnance Maintenance Company, Fort Bliss, TX",hostile action
"Maltz, Master Sgt. Michael",Enduring Freedom,3/23/03,42,"38th Rescue Squadron, Moody AFB, GA",helicopter accident
"Mata, Chief Warrant Officer Johnny Villareal",Iraqi Freedom,3/23/03,35,"507th Ordnance Maintenance Company, Fort Bliss, TX",hostile action
"Nixon, Cpl. Patrick R.",Iraqi Freedom,3/23/03,21,"1st Battalion, 2nd Marine Regiment, 2nd Marine Expeditionary Brigade",hostile action
