name  ,operation  ,dod  , age  ,unit  ,cod  
"Otey, Lance Cpl. Deshon E.",Iraqi Freedom,6/21/04,24,"2nd Battalion, 4th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Parker Jr., Cpl. Tommy L.",Iraqi Freedom,6/21/04,21,"2nd Battalion, 4th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Pennington, Staff Sgt. Gregory V.",Iraqi Freedom,6/21/04,36,"2nd Squadron, 7th Cavalry Regiment, 1st Cavalry Division, Fort Hood, Texas",hostile action
"McCaffrey Sr., Spec. Patrick R.",Iraqi Freedom,6/22/04,34,"Army National Guard?s 579th Engineer Battalion, Petaluma, Calif.",hostile action
"Tyson, 2nd Lt. Andre D.",Iraqi Freedom,6/22/04,33,"Army National Guard's 579th Engineer Battalion, Petaluma, Calif.",hostile action
"Cash, Capt. Christopher S.",Iraqi Freedom,6/24/04,36,"Army National Guard's 1st Battalion, 120th Infantry, Jacksonville, N.C.",hostile action
"Desens, Spec. Daniel A.",Iraqi Freedom,6/24/04,20,"Army National Guard's 1st Battalion, 120th Infantry, Jacksonville, N.C.",hostile action
"Kiser, Staff Sgt. Charles A.",Iraqi Freedom,6/24/04,37,"Army Reserve's 330th Military Police Detachment, Sheboygan, Wis.",hostile action
"McClenney, Pfc. Daniel B.",Enduring Freedom,6/24/04,19,"3rd Battalion, 6th Marine Regiment, 2nd Marine Division, Camp Lejeune, N.C.",hostile action
"Thacker, Lance Cpl. Juston T.",Enduring Freedom,6/24/04,21,"3rd Battalion, 6th Marine Regiment, 2nd Marine Division, Camp Lejeune, N.C.",hostile action
"Ceniceros, Lance Cpl. Manuel A.",Iraqi Freedom,6/26/04,23,"Regimental Combat Team 1 Headquarters Company, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Heines, Spec. Jeremy M.",Iraqi Freedom,6/26/04,25,"Company C, 1st Battalion, 9th Cavalry Regiment, Fort Hood, Texas.",hostile action
"Utt, 1st Sgt. Ernest E.",Iraqi Freedom,6/27/04,38,"Battery B, 1st Battalion, 82nd Field Artillery, 1st Cavalry Division, Fort Hood, Texas",hostile action
"Adle, Lance Cpl. Patrick R.",Iraqi Freedom,6/29/04,21,"Marine Corps Reserve?s 6th Engineer Support Battalion, 4th Force Service Support Group, Folsom, Pa.",hostile action
"Sherman, Sgt. Alan D.",Iraqi Freedom,6/29/04,36,"Marine Corps Reserve?s 6th Engineer Support Battalion, 4th Force Service Support Group, Folsom, Pa.",hostile action
"Todd III, Cpl. John H.",Iraqi Freedom,6/29/04,24,"Marine Corps Reserve?s 6th Engineer Support Battalion, 4th Force Service Support Group, Folsom, Pa.",hostile action
"DuSang, Spec. Robert L.",Iraqi Freedom,6/30/04,24,"1st Squadron, 2nd Armored Cavalry Regiment, Fort Polk, La.",vehicle accident
"McGee, Staff Sgt. Robert K.",Enduring Freedom,6/30/04,38,"2nd Battalion, 1st Special Forces Group, Fort Lewis, Wash.",non-combat
"Conde Jr., Sgt. Kenneth",Iraqi Freedom,7/1/04,23,"2nd Battalion, 4th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Creager, Lance Cpl. Timothy R.",Iraqi Freedom,7/1/04,21,"2nd Light Armored Reconnaissance Battalion, 2nd Marine Div., II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Martin, Staff Sgt. Stephen G.",Iraqi Freedom,7/1/04,39,"Army Reserve's 330th Military Police Detachment, Sheboygan, Wis.",IED
"Wagener, Sgt. Christopher A.",Iraqi Freedom,7/1/04,24,"10th Aviation Battalion, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",IED
"Huston Jr., Lance Cpl. James B.",Iraqi Freedom,7/2/04,22,"2nd Battalion, 1st Marine Regiment, 1st Marine Div., I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Smith, 2nd Lt. Brian D.",Iraqi Freedom,7/2/04,30,"1st Battalion, 34th Armor, 1st Brigade, 1st Infantry Division, Fort Riley, Kan.",hostile action
"Hickey, Spec. Julie R.",Enduring Freedom,7/4/04,20,"Army Reserve?s 412th Civil Affairs Battalion, Whitehall, Ohio",non-combat
"Kerns, Cpl. Dallas L.",Iraqi Freedom,7/5/04,21,"3rd Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force at Twentynine Palms, Calif.",hostile action
"Torres, Lance Cpl. Michael S.",Iraqi Freedom,7/5/04,21,"3rd Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, at Twentynine Palms, Calif.",hostile action
"Vangyzen IV, Lance Cpl. John J.",Iraqi Freedom,7/5/04,21,"3rd Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, at Twentynine Palms, Calif.",hostile action
"Dougherty, Lance Cpl. Scott E.",Iraqi Freedom,7/6/04,20,"2nd Light Armored Reconnaissance Battalion, 2nd Marine Division, II Marine Expeditionary Force at Camp Lejeune, N.C.",hostile action
"Hunt, Lance Cpl. Justin T.",Iraqi Freedom,7/6/04,22,"2nd Light Armored Reconnaissance Battalion, 2nd Marine Division, II Marine Expeditionary Force at Camp Lejeune, N.C.",hostile action
"Lawrence, Cpl. Jeffrey D.",Iraqi Freedom,7/6/04,22,"2nd Light Armored Reconnaissance Battalion, 2nd Marine Division, II Marine Expeditionary Force at Camp Lejeune, N.C.",hostile action
"Youmans, Pfc. Rodricka A.",Iraqi Freedom,7/6/04,22,"2nd Light Armored Reconnaissance Battalion, 2nd Marine Division, II Marine Expeditionary Force at Camp Lejeune, N.C.",hostile action
"Barkey, Sgt. Michael C.",Iraqi Freedom,7/7/04,22,"Army National Guard's 1484th Transportation Company, Akron, Ohio",vehicle accident
"Bowen, Pfc. Samuel R.",Iraqi Freedom,7/7/04,38,"Army National Guard's 216th Engineer Battalion, Akron, Ohio",hostile action
"Barcus, Pfc. Collier E.",Iraqi Freedom,7/8/04,21,"1st Battalion, 26th Infantry Regiment, 1st Infantry Division, Schweinfurt, Germany",hostile action
"Colvill, Jr., Sgt. Robert E.",Iraqi Freedom,7/8/04,31,"1st Battalion, 26th Infantry Regiment, 1st Infantry Division, Schweinfurt, Germany",hostile action
"Davies, Spec. Shawn M.",Iraqi Freedom,7/8/04,22,"4th Battalion, 5th Air Defense Artillery, 1st Cavalry Division Regiment, Fort Hood, Texas",non-combat
"Emanuel, IV, Spec. William R.",Iraqi Freedom,7/8/04,19,"1st Battalion, 26th Infantry Regiment, 1st Infantry Division, Schweinfurt, Germany",hostile action
"Garmback, Jr., Spec. Joseph M.",Iraqi Freedom,7/8/04,24,"1st Battalion, 26th Infantry Regiment, 1st Infantry Division, Schweinfurt, Germany",hostile action
"Sampler, Spec. Sonny G.",Iraqi Freedom,7/8/04,23,"1st Battalion, 26th Infantry Regiment, 1st Infantry Division, Schweinfurt, Germany",hostile action
"Schmunk, Spec. Jeremiah W.",Iraqi Freedom,7/8/04,21,"Company C, 1st Battalion, 161st Infantry Regiment, 1st Calvalry, Washington National Guard, Moses Lake, Wash.",hostile action
"Holmes, Cpl. Terry",Iraqi Freedom,7/10/04,22,"3rd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",vehicle accident
"Nachampassak, Sgt. Krisna",Iraqi Freedom,7/10/04,27,"3rd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",vehicle accident
"Reed, Pfc. Christopher J.",Iraqi Freedom,7/10/04,20,"3rd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",vehicle accident
"Spink, Staff Sgt. Trevor",Iraqi Freedom,7/10/04,36,"3rd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",vehicle accident
"Fischer, Sgt. Jeremy J.",Iraqi Freedom,7/11/04,26,"267th Ordnance Company, Nebraska National Guard, Lincoln, Neb.",IED
"Peters, Staff Sgt. Dustin W.",Iraqi Freedom,7/11/04,25,"314th Logistics Readiness Squadron, Little Rock Air Force Base, Ark.",hostile action
"Tarango-Griess, Sgt. 1st Class Linda Ann",Iraqi Freedom,7/11/04,33,"the 267th Ordnance Company, Nebraska National Guard, Lincoln, Neb.",IED
"West, Sgt. James G.",Iraqi Freedom,7/11/04,34,"1st Battalion, 94th Field Artillery Brigade, Baumholder, Germany",vehicle accident
"Wilson, Spec. Dana N.",Iraqi Freedom,7/11/04,26,"1st Battalion, 94th Field Artillery Brigade, Baumholder, Germany",vehicle accident
"Torres, Spec. Juan M.",Enduring Freedom,7/12/04,25,"453rd Transportation Company, U.S. Army Reserve, Houston, Texas",non-combat
"Harris, Pfc. Torry D.",Iraqi Freedom,7/13/04,21,"12th Chemical Company, Kitzingen, Germany",non-combat
"Martinez, Pfc. Jesse J.",Iraqi Freedom,7/14/04,20,"5th Battalion, 20th Infantry Regiment, 3rd Brigade, 2nd Infantry Division, from Fort Lewis, Wash.",vehicle accident
"Rice, Cpl. Demetrius L.",Iraqi Freedom,7/14/04,24,"5th Battalion, 20th Infantry Regiment, 3rd Brigade, 2nd Infantry Division, from Fort Lewis, Wash.",vehicle accident
"Mardis, Jr., Staff Sgt. Paul C.",Iraqi Freedom,7/15/04,25,"Army's 3rd Battalion, 5th Special Forces Group, from Fort Campbell, Ky.",IED
"Kelly, Lance Cpl. Bryan P.",Iraqi Freedom,7/16/04,21,"1st Combat Engineer Battalion, 1st Marine Division, I Marine Expeditionary Force at Camp Pendleton, Calif.",hostile action
"Frank, Spec. Craig S.",Iraqi Freedom,7/17/04,24,"Army National Guard's 1775th Military Police Company from Pontiac, Mich.",IED
"Hartman, Sgt. 1st Class David A.",Iraqi Freedom,7/17/04,41,"Army Reserve's 401st Transportation Company from Battle Creek, Mich.",IED
"Lloyd, Sgt. Dale T.",Iraqi Freedom,7/19/04,22,"1st Battalion, 32nd Infantry, 1st Brigade, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"Persing, Pfc. Charles C.",Iraqi Freedom,7/19/04,20,"1st Battalion, 32nd Infantry, 1st Brigade, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"Clark, Staff Sgt. Michael J.",Iraqi Freedom,7/20/04,29,"Combat Service Support Battalion 1, Combat Service Support Group 11, 1st Force Service Support Group, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Daniels, II, Spec. Danny B.",Iraqi Freedom,7/20/04,23,"630th Military Police Company, 793rd Military Police Battalion, 89th Military Police Brigade, Bamberg, Germany",IED
"Godwin, Cpl. Todd J.",Iraqi Freedom,7/20/04,21,"1st Battalion, 8th Marines, 2nd Marine Division, Camp Lejeune, N.C.",hostile action
"Blodgett, Pfc. Nicholas H.",Iraqi Freedom,7/21/04,21,"1st Squadron, 4th Cavalry Regiment, Schweinfurt, Germany",IED
"Engel, Lance Cpl. Mark E.",Iraqi Freedom,7/21/04,21,"2nd Light Armored Reconnaissance Battalion, 2nd Marine Division, II Marine Expeditionary Force at Camp Lejeune, N.C.",hostile action
"Dantzler, Pfc. Torey J.",Iraqi Freedom,7/22/04,22,"66th Transportation Company, Kaiserslautern, Germany",IED
"Reed, Sgt. Tatjana",Iraqi Freedom,7/22/04,34,"66th Transportation Company, Kaiserlautern, Germany",IED
"Sullivan, Lance Cpl. Vincent M.",Iraqi Freedom,7/23/04,23,"1st Battalion, 2nd Marine Regiment, 2nd Marine Division",hostile action
"Zangara, Spec. Nicholas J.",Iraqi Freedom,7/24/04,21,"1st Battalion, 7th Field Regiment, 1st Infantry Division, Schweinfurt, Germany",IED
"Talbert, Sgt. DeForest L.",Iraqi Freedom,7/27/04,24,"Army National Guard?s 1st Battalion, 150th Armor Regiment from Beckley, W.Va.",IED
"Greene, Lt. Col. David S.",Iraqi Freedom,7/28/04,39,"Light Attack Helicopter Squadron 775, Marine Aircraft Group 16, 3D Marine Air Wing, Marine Corps Air Station Miramar, Calif.",hostile action
"Lane, Gunnery Sgt. Shawn A.",Iraqi Freedom,7/28/04,33,"Headquarters Battalion, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Leisten, Pfc. Ken W.",Iraqi Freedom,7/28/04,20,"Army National Guard?s 2nd Battalion, 162nd Infantry, Corvallis, Ore.",IED
"Herndon II, Spec. Joseph F.",Iraqi Freedom,7/29/04,21,"1st Battalion, 27th Infantry, 25th Infantry Division (Light), Schofield Barracks, Hawaii",hostile action
"Dixon, Spec. Anthony J.",Iraqi Freedom,8/1/04,20,"1st Squadron, 4th Cavalry, 1st Infantry Division, Schweinfurt, Germany",IED
"Hernandez, Spec. Armando",Iraqi Freedom,8/1/04,22,"1st Squadron, 4th Cavalry, 1st Infantry Division, Schweinfurt, Germany",IED
"Calderon Jr., Sgt. Juan",Iraqi Freedom,8/2/04,26,"3rd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expaditionary Force, Camp Pendleton, Calif.",hostile action
"Onwordi, Spec. Justin B.",Iraqi Freedom,8/2/04,28,"2nd Battalion, 12th Armored Cavalry Regiment, 1st Cavalry Division, Fort Hood, Texas",IED
"Pratt, Cpl. Dean P.",Iraqi Freedom,8/2/04,22,"2nd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Gray, Sgt. Tommy L.",Iraqi Freedom,8/3/04,34,"215th Forward Support Battalion, 1st Cavalry Division, Fort Hood, Texas",non-combat
"Ratzlaff, Capt. Gregory A.",Iraqi Freedom,8/3/04,36,"Marine Medium Helicopter Squadron 166, Marine Aircraft Group 16, 3rd Marine Aircraft Wing, Marine Corps Air Station Miramar, San Diego, Calif.",non-combat
"Shondee, Jr., Pfc. Harry N.",Iraqi Freedom,8/3/04,19,"2nd Battalion, 12th Armored Cavalry Regiment, 1st Cavalry Division, Fort Hood, Texas",IED
"Fontecchio, Gunnery Sgt. Elia P.",Iraqi Freedom,8/4/04,30,"3rd Battalion, 7th Marines, 1st Marine Division, I Marine Expeditionary Force, Marine Corps Air Ground Combat Center Twentynine Palms, Calif.",hostile action
"Nice, Lance Cpl. Joseph L.",Iraqi Freedom,8/4/04,19,"3rd Battalion, 7th Marines, 1st Marine Division, I Marine Expeditionary Force, Marine Corps Air Ground Combat Center Twentynine Palms, Calif.",hostile action
"Faulstich Jr., Pfc. Raymond J.",Iraqi Freedom,8/5/04,24,"89th Transportation Company, 6th Transportation Battalion, 7th Transportation Group, Fort Eustis, Va.",hostile action
"McCune, Spec. Donald R.",Iraqi Freedom,8/5/04,20,"Army National Guard?s 1st Battalion, 161st Infantry Regiment, 81st Brigade Combat Team, Moses Lake, Wash.",IED
"Reynoso, Sgt. Yadir G.",Iraqi Freedom,8/5/04,27,"Battalion Landing Team 1/4, 11th Marine Expeditionary Unit, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Rocha, Sgt. Moses D.",Iraqi Freedom,8/5/04,33,"Battalion Landing Team 1/4, 11th Marine Expeditionary Unit, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Abad, Cpl. Roberto",Iraqi Freedom,8/6/04,22,"Battalion Landing Team 1/4, 11th Marine Expeditionary Unit, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Bunch, Spec. Joshua I.",Iraqi Freedom,8/6/04,23,"91st Engineer Battalion, 1st Cavalry Division, Fort Hood, Texas",hostile action
"Wells, Lance Cpl. Larry L.",Iraqi Freedom,8/6/04,22,"Unit Battalion Landing Team 1/4, 11th Marine Expeditionary Unit, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Beasley, Sgt. Bobby E.",Enduring Freedom,8/7/04,36,"Army National Guard?s 3rd Battalion, 116th Infantry Regiment, 1st Brigade, 29th Infantry Division (Light Infantry), Winchester, Va.",IED
"Cherry, Staff Sgt. Craig W.",Enduring Freedom,8/7/04,39,"Army National Guard?s 3rd Battalion, 116th Infantry Regiment, 1st Brigade, 29th Infantry Division (Light Infantry), Winchester, Va.",IED
"Potter, Pfc. David L.",Iraqi Freedom,8/7/04,22,"115th Forward Support Battalion, 1st Cavalry Division, Fort Hood, Texas",non-combat
"Collins, Lance Cpl. Jonathan W.",Iraqi Freedom,8/8/04,19,"2nd Battalion, 4th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Houghton, Capt. Andrew R.",Iraqi Freedom,8/9/04,25,"1st Squadron, 4th Cavalry, 1st Infantry Division, Schweinfurt, Germany",hostile action
"Howard, Staff Sgt. John R.",Iraqi Freedom,8/11/04,26,"Marine Medium Helicopter Squadron 166 (Reinforced), 11th Marine Expeditionary Unit, I Marine Expeditionary Force, Marine Corps Air Station Miramar, Calif",helicopter accident
"Hubbard, Lance Cpl. Tavon L.",Iraqi Freedom,8/11/04,24,"Command Element, 11th Marine Expeditionary Unit, I Marine Expeditionary Force, Marine Corps Base Camp Pendleton, Calif.",helicopter accident
"Galvan, Sgt. Daniel Lee",Enduring Freedom,8/12/04,30,"2nd Battalion (Assault), 25th Aviation Regiment, 25th Light Infantry Division, from Schofield Barracks, Hawaii",helicopter accident
"Tarlavsky, Capt. Michael Y.",Iraqi Freedom,8/12/04,30,"1st Battalion, 5th Special Forces Group, from Fort Campbell, Ky",hostile action
"Funke, Lance Cpl. Kane M.",Iraqi Freedom,8/13/04,20,"2nd Battalion, 7th Marines, 1st Marine Division, I Marine Expeditionary Force, Marine Corps Air Ground Combat Center, Twentynine Palms, Calif.",hostile action
"Morrison, Lance Cpl. Nicholas B.",Iraqi Freedom,8/13/04,23,"2nd Battalion, 2nd Marine Regiment, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Santoriello, 1st Lt. Neil A.",Iraqi Freedom,8/13/04,24,"1st Battalion, 34th Armor, 1st Brigade, 1st Infantry Division, Fort Riley, Kan",IED
"Goins, 2nd Lt. James M.",Iraqi Freedom,8/15/04,23,"2nd Battalion, 12th Cavalry Regiment, 1st Cavalry Division from Fort Hood, Texas",hostile action
"Hannon, Pfc. Fernando B.",Iraqi Freedom,8/15/04,19,"3rd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Perez, Pfc. Geoffrey",Iraqi Freedom,8/15/04,24,"3rd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Sapp, Pfc. Brandon R.",Iraqi Freedom,8/15/04,21,"2nd Battalion, 7th Cavalry Regiment, 1st Cavalry Division, Fort Hood, Texas.",IED
"Shepherd, Sgt. Daniel M.",Iraqi Freedom,8/15/04,23,"1st Battalion, 16th Infantry Regiment from Fort Riley, Kan.",IED
"Zapata, Spec. Mark A.",Iraqi Freedom,8/15/04,27,"2nd Battalion, 12th Cavalry Regiment, 1st Cavalry Division from Fort Hood, Texas",hostile action
"Heath, Sgt. David M.",Iraqi Freedom,8/16/04,30,"1st Battalion, 41st Infantry, 3rd Brigade, 1st Armored Division, Fort Riley, Kan.",hostile action
"Powers, Lance Cpl. Caleb J.",Iraqi Freedom,8/17/04,21,"2nd Battalion, 4th Marine Regiment, 1st Marine Division, Camp Pendleton, Calif.",hostile action
"Titus, Spec. Brandon T.",Iraqi Freedom,8/17/04,20,"2nd Battalion, 14th Infantry Regiment, 2nd Brigade, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",IED
"Fitzgerald, Lance Cpl. Dustin R.",Iraqi Freedom,8/18/04,22,"Battalion Landing Team 1/2, 24th Marine Expeditionary Unit, Camp Lejeune, N.C.",vehicle accident
"Lord, Sgt. Richard M.",Iraqi Freedom,8/18/04,24,"1st Battalion, 8th Marine Regiment, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Martir, Spec. Jacob D.",Iraqi Freedom,8/18/04,21,"2nd Battalion, 5th Cavalry Regiment, 1st Cavalry Division, Fort Hood, Texas",hostile action
"Parkerson III, Sgt. Harvey E.",Iraqi Freedom,8/18/04,27,"Battalion Landing Team 1/4, 11th Marine Expeditionary Unit (Special Operations Capable), Camp Pendleton, Calif.",hostile action
"Risner, Pfc. Henry C.",Iraqi Freedom,8/18/04,26,"2nd Battalion, 14th Infantry Regiment, 2nd Brigade, 10th Mountain Division (Light Infantry), Fort Drum, N.Y.",hostile action
"McCormick, Cpl. Brad P.",Iraqi Freedom,8/19/04,23,"Marine Corps Reserve?s 3rd Battalion, 24th Marine Regiment, 4th Marine Division, Nashville, Tenn.",hostile action
"Martin, Pfc. Ryan A.",Iraqi Freedom,8/20/04,22,"Army National Guard?s 216th Engineer Battalion, Hamilton, Ohio",IED
"Wilkins III, 1st Lt. Charles L.",Iraqi Freedom,8/20/04,38,"Army National Guard?s 216th Engineer Battalion, Hamilton, Ohio",IED
"Alvarez, Cpl. Nicanor",Iraqi Freedom,8/21/04,22,"1st Combat Engineer Battalion, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Cook, Sgt. Jason",Iraqi Freedom,8/21/04,25,"1st Light Armored Reconnaissance Battalion, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Cuming, Pfc. Kevin A.",Iraqi Freedom,8/21/04,22,"1st Squadron, 7th Cavalry Regiment, 1st Cavalry Division, Fort Hood, Texas",hostile action
"Huston, Lance Cpl. Seth",Iraqi Freedom,8/21/04,19,"2nd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Reeder, Gunnery Sgt. Edward T.",Iraqi Freedom,8/21/04,32,"Headquarters and Service Battalion, 1st Force Service Support Group, I Marine Expeditionary Force, Camp Pendleton, Calif.",vehicle accident
"Washalanta, Pfc. Nachez",Iraqi Freedom,8/21/04,21,"1st Light Armored Reconnaissance Battalion, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Belchik, Cpl. Christopher",Iraqi Freedom,8/22/04,30,"2nd Battalion, 2nd Marine Regiment, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Stovall, 2nd Lt. Matthew R.",Iraqi Freedom,8/22/04,25,"Army National Guard?s 367th Maintenance Company, 298th Corps Support Battalion, Philadelphia, Miss.",IED
"Thornton Jr., Staff Sgt. Robert C.",Iraqi Freedom,8/23/04,35,"1st Squadron, 7th Cavalry Regiment, 1st Cavalry Division, Fort Hood, Texas",hostile action
"Davis, Staff Sgt. Donald N.",Iraqi Freedom,8/24/04,42,"U.S. Army Reserve's 660th Transportation Company, Zanesville, Ohio",vehicle accident
"Lugo, Lance Cpl. Jacob R.",Iraqi Freedom,8/24/04,21,"3rd Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Marine Corps Air Ground Combat Center Twentynine Palms, Calif.",hostile action
"Arredondo, Lance Cpl. Alexander S.",Iraqi Freedom,8/25/04,20,"Battalion Landing Team 1/4, 11th Marine Expeditionary Unit (Special Operations Capable), I Marine Expeditionary Force, Marine Corps Base Camp Pendleton, Calif.",hostile action
"Neeley, Spec. Charles L.",Iraqi Freedom,8/25/04,19,"Army Reserve?s 454th Transportation Company, Columbus, Ohio",vehicle accident
"Ross, Spec. Marco D.",Iraqi Freedom,8/25/04,20,"115th Forward Support Battalion, 1st Cavalry Division, Fort Hood, Texas",hostile action
"Humlhanz, Cpl. Barton R.",Iraqi Freedom,8/26/04,23,"Marine Expeditionary Unit Service Support Group 24, 24th MEU, Camp Lejeune, N.C.",hostile action
"Skinner, Pfc. Nicholas M.",Iraqi Freedom,8/26/04,20,"Battalion Landing Team 1/4, 11th Marine Expeditionary Unit (Special Operations Capable), I Marine Expeditionary Force, Camp Pendleton, Calif.",hostile action
"Aldrich, Lance Cpl. Nickalous N.",Iraqi Freedom,8/27/04,21,"2nd Battalion, 4th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif.",vehicle accident
"Perez, Pfc. Luis A.",Iraqi Freedom,8/27/04,19,"Army Reserve?s 223rd Transportation Company, Norristown, Pa.",IED
"Razani, Spec. Omead H.",Iraqi Freedom,8/27/04,19,"1st Battalion, 506th Infantry Regiment, 2nd Brigade, 2nd Infantry Division, Camp Greaves, Korea",non-combat
"Lopez, Sgt. Edgar E.",Iraqi Freedom,8/28/04,27,"1st Battalion, 2nd Marine Regiment, 24th Marine Expeditionary Unit, II Marine Expeditionary Force, Camp Lejeune, N.C.",hostile action
"Holleyman, Staff Sgt. Aaron N.",Iraqi Freedom,8/30/04,26,"Army's 1st Battalion, 5th Special Forces Group, Fort Campbell, Ky.",IED
"Anderson Jr., Airman 1st Class Carl L.",Iraqi Freedom,8/31/04,21,"3rd Logistics Readiness Squadron, Elmendorf Air Force Base, Alaska",hostile action
"Thibodeaux, Spec. Joseph C.",Iraqi Freedom,9/1/04,24,"Headquarters and Headquarters Company 2nd Brigade Combat Team, 25th Infantry Division (Light), Schofield Barracks, Hawaii",hostile action
"Perez, Lance Cpl. Nicholas",Iraqi Freedom,9/3/04,19,"3rd Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Marine Corps Air Ground Combat Center, Twentynine Palms, Calif.",hostile action
"Rowe, Capt. Alan",Iraqi Freedom,9/3/04,35,"1st Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Marine Corps Air Ground Combat Center, Twentynine Palms, Calif.",hostile action
"Wilt, Lance Cpl. Nicholas",Iraqi Freedom,9/3/04,23,"1st Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Marine Corps Air Ground Combat Center, Twentynine Palms, Calif.",hostile action
"Winchester, 1st Lt. Ronald",Iraqi Freedom,9/3/04,25,"1st Battalion, 7th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Marine Corps Air Ground Combat Center, Twentynine Palms, Calif.",hostile action
"Knott, Petty Officer 3rd Class Eric L.",Iraqi Freedom,9/4/04,21,"Naval Mobile Construction Battalion 4, Port Hueneme, Calif.",hostile action
"Lamb, Spec. Charles R.",Iraqi Freedom,9/5/04,23,"Army National Guard's 1544th Transportation Company, Paris, Ill.",hostile action
"McCauley, Pfc. Ryan M.",Iraqi Freedom,9/5/04,20,"2nd Battalion, 5th Cavalry Regiment, 1st Cavalry Division, Fort Hood, Texas",hostile action
"Morrison, Sgt. Shawna M.",Iraqi Freedom,9/5/04,26,"Army National Guard's 1544th Transportation Company, Paris, Ill.",hostile action
"Vaillant, Staff Sgt. Gary A.",Iraqi Freedom,9/5/04,41,"2nd Battalion, 72nd Armor, Camp Casey, Korea",IED
"Allred, Lance Cpl. Michael J.",Iraqi Freedom,9/6/04,22,"2nd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif",hostile action
"Bekowsky, Cpl. Mick R.",Iraqi Freedom,9/6/04,21,"2nd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif",hostile action
"Boria, Capt. John J.",Iraqi Freedom,9/6/04,29,"911th Air Refueling Squadron, Grand Forks Air Force Base, N.D.",vehicle accident
"Bourdon, Staff Sgt. Elvis",Iraqi Freedom,9/6/04,36,"1st Battalion, 9th Cavalry Regiment, 1st Cavalry Division from Fort Hood, Texas",hostile action
"Burridge, Pfc. David P.",Iraqi Freedom,9/6/04,19,"2nd Battalion, 1st Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, Calif",hostile action
