created,id,option__id,option__key,option__value,option__vote,person__bioguideid,person__birthday,person__cspanid,person__firstname,person__gender,person__gender_label,person__id,person__lastname,person__link,person__middlename,person__name,person__namemod,person__nickname,person__osid,person__pvsid,person__sortname,person__twitterid,person__youtubeid,vote__category,vote__category_label,vote__chamber,vote__chamber_label,vote__congress,vote__created,vote__id,vote__link,vote__missing_data,vote__number,vote__question,vote__question_details,vote__related_amendment,vote__related_bill,vote__required,vote__result,vote__session,vote__source,vote__source_label,vote__total_minus,vote__total_other,vote__total_plus,vote__vote_type,voter_type,voter_type_label
2013-09-29T00:16:00,29862533,436877,+,Yea,113830,B000755,4/11/55,45749,Kevin,male,Male,400046,Brady,https://www.govtrack.us/congress/members/kevin_brady/400046,P.,Rep. Kevin Brady [R-TX8],,,N00005883,361,"Brady, Kevin (Rep.) [R-TX8]",RepKevinBrady,KBrady8,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862760,436878,-,Nay,113830,B001227,4/7/45,55227,Robert,male,Male,400047,Brady,https://www.govtrack.us/congress/members/robert_brady/400047,A.,Rep. Robert Brady [D-PA1],,,N00001619,2519,"Brady, Robert (Rep.) [D-PA1]",RepBrady,BradyPA01,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862762,436878,-,Nay,113830,B000911,11/11/46,26192,Corrine,female,Female,400048,Brown,https://www.govtrack.us/congress/members/corrine_brown/400048,,Rep. Corrine Brown [D-FL5],,,N00002713,26797,"Brown, Corrine (Rep.) [D-FL5]",RepCorrineBrown,CongresswomanBrown,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862540,436877,+,Yea,113830,B001248,12/23/50,1003620,Michael,male,Male,400052,Burgess,https://www.govtrack.us/congress/members/michael_burgess/400052,C.,Rep. Michael Burgess [R-TX26],,,N00025219,50120,"Burgess, Michael (Rep.) [R-TX26]",michaelcburgess,michaelcburgessmd,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862541,436877,+,Yea,113830,C000059,6/8/53,26709,Ken,male,Male,400057,Calvert,https://www.govtrack.us/congress/members/ken_calvert/400057,S.,Rep. Ken Calvert [R-CA42],,,N00007099,26777,"Calvert, Ken (Rep.) [R-CA42]",KenCalvert,RepKenCalvert,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862542,436877,+,Yea,113830,C000071,7/9/53,23039,Dave,male,Male,400058,Camp,https://www.govtrack.us/congress/members/dave_camp/400058,Lee,Rep. Dave Camp [R-MI4],,,N00008086,26911,"Camp, Dave (Rep.) [R-MI4]",RepDaveCamp,DaveCampYT,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862544,436877,+,Yea,113830,C001046,6/6/63,87402,Eric,male,Male,400060,Cantor,https://www.govtrack.us/congress/members/eric_cantor/400060,I.,Rep. Eric Cantor [R-VA7],,,N00013131,5121,"Cantor, Eric (Rep.) [R-VA7]",gopleader,EricCantor,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862545,436877,+,Yea,113830,C001047,11/26/53,83737,Shelley,female,Female,400061,Capito,https://www.govtrack.us/congress/members/shelley_capito/400061,Moore,Rep. Shelley Capito [R-WV2],,,N00009771,11701,"Capito, Shelley (Rep.) [R-WV2]",RepShelley,RepShelleyCapito,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862766,436878,-,Nay,113830,C001036,1/10/38,54075,Lois,female,Female,400062,Capps,https://www.govtrack.us/congress/members/lois_capps/400062,,Rep. Lois Capps [D-CA24],,,N00007232,16886,"Capps, Lois (Rep.) [D-CA24]",RepLoisCapps,reploiscapps,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862767,436878,-,Nay,113830,C001037,1/9/52,56760,Michael,male,Male,400063,Capuano,https://www.govtrack.us/congress/members/michael_capuano/400063,E.,Rep. Michael Capuano [D-MA7],,,N00000267,18883,"Capuano, Michael (Rep.) [D-MA7]",,RepMikeCapuano,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862546,436877,+,Yea,113830,C001051,11/6/41,1004257,John,male,Male,400068,Carter,https://www.govtrack.us/congress/members/john_carter/400068,R.,Rep. John Carter [R-TX31],,,N00025095,49296,"Carter, John (Rep.) [R-TX31]",JudgeCarter,repjohncarter,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862548,436877,+,Yea,113830,C000266,1/22/53,36705,Steve,male,Male,400071,Chabot,https://www.govtrack.us/congress/members/steve_chabot/400071,J.,Rep. Steve Chabot [R-OH1],,,N00003689,21790,"Chabot, Steve (Rep.) [R-OH1]",RepSteveChabot,congressmanchabot,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862777,436878,-,Nay,113830,C001049,7/27/56,88332,Wm.,male,Male,400074,Clay,https://www.govtrack.us/congress/members/lacy_clay/400074,Lacy,Rep. Lacy Clay [D-MO1],Jr.,,N00012460,8967,"Clay, Lacy (Rep.) [D-MO1]",,WilliamLacyClay,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862779,436878,-,Nay,113830,C000537,7/21/40,21607,James,male,Male,400075,Clyburn,https://www.govtrack.us/congress/members/james_clyburn/400075,E.,Rep. James â€œJimâ€ù Clyburn [D-SC6],,Jim,N00002408,27066,"Clyburn, James â€œJimâ€ù (Rep.) [D-SC6]",clyburn,repjamesclyburn,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862550,436877,+,Yea,113830,C000556,3/18/31,6961,Howard,male,Male,400076,Coble,https://www.govtrack.us/congress/members/howard_coble/400076,,Rep. Howard Coble [R-NC6],,,N00002247,27001,"Coble, Howard (Rep.) [R-NC6]",HowardCoble,,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
